filename,genre,zcr_mean,zcr_std,chroma_stft_mean,chroma_stft_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std
Nostalgia - A. Cooper,RnB - Soul,0.03840957326180179,0.01944071282731954,0.304108,0.30044192,922.8253829227199,845.0524711855422,1910.780553478,2281.6722689653557,1209.9835243820157,1036.4587040072086,-295.39938,91.07627,163.68599,55.068474,62.666695,28.10714,9.176665,26.645496,-4.3791847,12.051849,1.0014262,13.31886,-10.172307,15.340407,-9.072429,18.548544,-13.373836,12.235354,-11.913415,12.921342,-17.873259,11.230754,-9.332478,15.926531
Sandbox - Silent Partner,RnB - Soul,0.031925252803453714,0.020314172893981883,0.38416702,0.29225516,1000.6953253767997,666.8460999505972,2108.2573481499894,1921.817380786804,1514.8674676644953,712.5967937892287,-157.0582,91.867386,154.9726,45.887695,38.072987,22.214817,46.99402,23.197119,1.0918825,16.265648,12.052456,13.649891,2.920678,11.749158,6.051483,10.2037115,-7.5477915,8.564426,-0.19715184,8.526983,-6.1373363,6.162438,-0.1361761,7.5528364
Scared of My Own Blood - Sunbyrn,RnB - Soul,0.07906681300201848,0.04037475466990552,0.35075322,0.2930975,2142.3018146971003,637.4108275264672,5044.509508194216,1300.0761056974002,2532.731340222746,359.3016015609052,-61.767452,80.650024,96.02646,23.980623,16.076431,16.574583,31.824366,13.415438,4.229505,14.2325,20.164654,8.589375,-10.988323,9.271035,0.14409101,10.051713,-10.822666,7.8626895,8.727853,8.550778,-4.732316,8.5482855,-0.51693964,7.705675
Sinking Ship - Silent Partner,RnB - Soul,0.029352526102654177,0.03362490168053153,0.30847508,0.30115876,754.3558551356781,611.2507198323016,1448.6416175717213,1422.4039591422675,1026.187223877499,608.1722855151849,-209.22417,86.70059,164.99811,47.67566,11.387531,31.17025,27.906734,18.39654,27.752897,14.239714,17.488312,9.639957,0.4633223,6.223789,-3.6818247,9.767769,-12.718212,6.9264193,-13.904185,9.8757305,-11.576226,5.922823,-4.5349765,7.463499
So Fine - Double-F the King,RnB - Soul,0.054209419809096625,0.0422378510323998,0.42973226,0.29318222,1839.8599402752589,889.2985166630687,4394.569780250296,2582.4384876592776,2445.478470168447,723.6993263389605,-104.747955,57.18927,121.43253,34.086708,15.073618,25.475685,15.718324,19.642708,15.082583,15.42651,12.822727,12.403853,-1.0088985,13.492848,1.4765829,10.1116,-7.240109,11.036262,-0.47787857,10.606951,-12.706379,11.166524,1.9250902,11.011168
Still Standing - Jus Moni,RnB - Soul,0.082027155153049,0.05160954088981926,0.29080054,0.30030712,1803.2045773835164,889.4969952352932,3643.4053279574623,1872.8236922151734,1897.6447398210057,612.3297797689588,-167.36356,99.28254,114.83991,37.052715,-5.057908,32.472748,24.01762,23.067755,-20.393831,16.81609,-6.32608,17.348083,-14.709421,16.469305,-24.086674,15.158946,-20.162327,13.00359,4.463372,14.434384,-13.574273,14.592142,-0.016952695,11.574653
Talking With You - Artificial Music,RnB - Soul,0.05413869544513193,0.04156873334106747,0.3534715,0.32089517,1120.639102718491,652.5956360519243,2166.585320581759,1537.7893618544663,1401.7548605972556,675.2511049975034,-234.51302,113.72544,120.41462,38.751923,10.315204,29.652422,14.569605,22.723215,0.047511093,17.490555,8.55221,23.302052,-10.577513,17.690132,-9.572316,18.145723,-12.710808,13.01362,-0.8082404,14.650676,-0.8782567,12.752949,1.9394786,14.767639
Thank You R.G.E - Joe Bagale,RnB - Soul,0.03285367013075386,0.0285224440385808,0.37525553,0.30072755,1048.6419854204835,642.7445954282598,2119.7473898217854,1815.9343944117488,1669.5500956385524,697.486349833874,-185.88164,95.45875,138.70427,45.0514,31.03933,24.856112,26.005135,13.902936,6.056277,11.289933,18.658447,11.207237,5.545667,9.368444,13.76398,10.221711,0.014831021,9.395448,4.560182,8.583631,-4.534697,8.078867,-1.9380862,8.249706
The Making of Thumbs Up - Joe Bagale,RnB - Soul,0.04538302951388889,0.050008421710439004,0.3952159,0.3166964,1182.1405129339564,784.2515545243622,2250.346991356383,1774.1618231175828,1678.4588757285444,542.5986931794865,-189.08287,89.989914,133.7063,49.06977,9.210594,30.07772,19.398945,24.780956,5.4150586,17.105986,11.666324,15.96361,6.534641,13.94445,9.872583,16.003302,-0.19087641,14.53234,8.744653,13.161845,0.53201705,9.955214,4.887732,11.856392
The View - Pyrosion,RnB - Soul,0.048975638539227165,0.029089296937074325,0.28820905,0.294849,1134.1796804169653,781.8098061803579,2172.029488985656,1928.129303120685,1414.6200998272227,686.046007643581,-206.02016,79.60621,151.65962,46.072422,20.104395,30.202707,24.952381,16.276472,1.9061494,15.054066,-3.5994496,16.86306,-18.721582,12.937686,-13.021138,15.935782,-13.919652,11.672268,-3.790886,9.231117,-4.840084,9.557813,-0.49257192,8.910294
Tracks Of My Fears - John Deley and the 41 Players,RnB - Soul,0.03954243456196581,0.0279415155033583,0.3323361,0.31675065,1099.512674413648,537.4153697043927,2324.6419674705335,1320.3266390791114,1554.7913498494615,555.7013950958875,-261.5427,105.51628,122.20685,36.76292,7.5193734,26.580791,46.236214,16.319098,13.383054,13.623246,14.603271,10.472255,4.4144397,11.544158,10.205349,9.012333,-0.5606621,10.23862,2.976611,8.508806,-2.914742,9.031193,-2.2263184,8.4093075
Trips - Topher Mohr and Alex Elena,RnB - Soul,0.04401315033620356,0.029591581917528552,0.33558547,0.31934917,1098.9533378511067,489.0106303615617,2294.381959519519,1182.5560004178906,1454.349189887497,470.5537719982185,-245.82896,97.66604,118.80746,38.32448,5.0447826,19.086994,45.932903,23.044205,15.059987,15.389816,8.307065,13.04592,-1.0423836,11.012042,6.1269083,10.043251,0.45332846,8.280037,6.52712,10.402413,-0.77565825,8.840203,3.2422597,8.985104
Way Up High - Pyrosion,RnB - Soul,0.04954734672512982,0.036696503092158245,0.3257385,0.3052068,1237.9207771479971,629.8344246879443,2431.7621036673645,1554.0426236395472,1688.3252202755425,542.9904703822593,-215.51239,81.70023,133.6142,36.312687,17.948265,20.295536,19.443775,22.023321,-7.4049406,12.091431,4.805518,13.307529,-2.077315,13.039134,2.1250546,14.047758,-3.5552754,11.458534,1.0921478,12.903057,-5.6453567,11.644417,-0.79060006,11.751549
What It Feels Like - Double-F the King,RnB - Soul,0.07839116781803017,0.0730982865872099,0.37369654,0.31542295,2141.962946362253,1282.052399516864,4891.316753018929,2858.836465920968,2437.2016294999676,956.8646337707331,-142.6704,113.409676,95.16737,41.84956,35.96463,33.366856,18.186861,25.256195,7.8940177,19.93779,4.64005,17.092329,-5.032278,16.757097,10.548391,15.061416,-8.288988,12.922592,2.2093134,12.207244,-1.5217385,11.878631,7.198005,11.026624
Your Blessing - Double-F the King,RnB - Soul,0.055672237515938576,0.058356198063115025,0.47441977,0.30262896,1816.4113122811139,1089.984706558875,4356.447050367627,2761.45361244449,2340.468245593053,875.2203940647657,-178.70265,110.90619,103.66767,42.751816,29.313387,33.50219,25.082804,22.21357,14.943685,14.335532,8.16178,17.143051,-2.2123425,14.73487,11.12934,14.511755,-5.184107,12.878042,15.211075,13.301703,-0.07905381,9.973164,6.4518924,11.134621
